Taxa Code,NAME with AUTHOR,Species Name,GENUS,SPECIES,INFRASPECIES_RANK,INFRASPECIES,AUTHOR,FAMILY,VOLUME_REFERENCE,NSL_ID,,
sakikond,"Okenia kondoi (Hamatani, 2001)",Okenia kondoi,Okenia,kondoi,,,"(Hamatani, 2001)",,,,,
trapsp8,Trapania sp. 8,Trapania sp. 8,Trapania,sp. 8,,,,,,,,
haminavi,"Haminoea navicula (Costa,  1778)",Haminoea navicula,Haminoea,navicula,,,"(Costa, 1778)",,,,,
maricyan,"Marionia cyanobranchiata (Ruppell & Leuckart, 1831)",Marionia cyanobranchiata,Marionia,cyanobranchiata,,,"(Ruppell & Leuckart, 1831)",,,,,
cuthyama,"Cuthona yamasui Hamatani, 1993",Cuthona yamasui,Cuthona,yamasui,,,"Hamatani, 1993",,,,,
hydazona,"Hydatina zonata (Solander in Lightfoot, 1786)",Hydatina zonata,Hydatina,zonata,,,"(Solander in Lightfoot, 1786)",,,,,
cuthsp4,"Cuthona sibogae (Bergh, 1905)",Cuthona sibogae,Cuthona,sibogae,,,"(Bergh, 1905)",,,,,
aglajidsp10,Aglajid sp. 10,Aglajid sp. 10,Aglajid,sp. 10,,,,,,,,
aegining,"Aegires ninguis  Fahey and Gosliner, 2004",Aegires ninguis,Aegires,ninguis,,,"Fahey and Gosliner, 2004",,,,,
fryeruep,"Fryeria rueppelii Bergh, 1869",Fryeria rueppelii,Fryeria,rueppelii,,,"Bergh, 1869",,,,,
phylmagn,"Phyllodesmium magnum Rudman, 1991",Phyllodesmium magnum,Phyllodesmium,magnum,,,"Rudman, 1991",,,,,
cerbsp6,Cerberilla sp. 6,Cerberilla sp. 6,Cerberilla,sp. 6,,,,,,,,
gascapri,"Gascoignella aprica Jensen, 1985",Gascoignella aprica,Gascoignella,aprica,,,"Jensen, 1985",,,,,
pleualbi,"Pleurobranchus albiguttatus  (Bergh, 1905)",Pleurobranchus albiguttatus,Pleurobranchus,albiguttatus,,,"(Bergh, 1905)",,,,,
phylvari,"Phyllidia varicosa Lamarck, 1801",Phyllidia varicosa,Phyllidia,varicosa,,,"Lamarck, 1801",,,,,
aeololiv,"Aeolidiella oliviae MacFarland, 1966",Aeolidiella oliviae,Aeolidiella,oliviae,,,"MacFarland, 1966",,,,,
aldisang,"Aldisa sanguinea (Cooper, 1873)",Aldisa sanguinea,Aldisa,sanguinea,,,"(Cooper, 1873)",,,,,
runczela,"Runcinella zelandica Odhner, 1924",Runcinella zelandica,Runcinella,zelandica,,,"Odhner, 1924",,,,,
tambsp11,Tambja sp. 11,Tambja sp. 11,Tambja,sp. 11,,,,,,,,
sakusp1,Sakuraeolis sp. 1,Sakuraeolis sp. 1,Sakuraeolis,sp. 1,,,,,,,,
paracflitu,Paradoris cf. liturata,Paradoris cf. liturata,Paradoris,cf. liturata,,,,,,,,
rostmusc,"Rostanga muscula (Abraham, 1877)",Rostanga muscula,Rostanga,muscula,,,"(Abraham, 1877)",,,,,
noumnorb,"Noumea norba Marcus & Marcus, 1970",Noumea norba,Noumea,norba,,,"Marcus & Marcus, 1970",,,,,
cadlcflute,Cadlina cf. luteomarginata,Cadlina cf. luteomarginata,Cadlina,cf. luteomarginata,,,,,,,,
chrocoi,"Chromodoris coi (Risbec, 1956)",Chromodoris coi,Chromodoris,coi,,,"(Risbec, 1956)",,,,,
ercocfbood,Ercolania cf. boodleae,Ercolania cf. boodleae,Ercolania,cf. boodleae,,,,,,,,
noumangu,"Noumea angustolutea Rudman, 1990",Noumea angustolutea,Noumea,angustolutea,,,"Rudman, 1990",,,,,
nembsp14,Nembrotha sp 14,Nembrotha sp 14,Nembrotha,sp 14,,,,,,,,
valdaf6,Unidentified glaucid sp. 1.,Unidentified glaucid sp. 1.,Unidentified,glaucid,,sp. 1.,,,,,,
aphelaws,"Aphelodoris lawsae Burn, 1966",Aphelodoris lawsae,Aphelodoris,lawsae,,,"Burn, 1966",,,,,
volvvigo,"Volvatella vigourouxi (Montrouzier in Souverbie, 1861)",Volvatella vigourouxi,Volvatella,vigourouxi,,,"(Montrouzier in Souverbie, 1861)",,,,,
nembcris,"Nembrotha cristata Bergh, 1877",Nembrotha cristata,Nembrotha,cristata,,,"Bergh, 1877",,,,,
